"method","line","severity","representativity","quality","intervention","cdi"
"io.kubernetes.client.openapi.apis.FlowcontrolApiserverV1beta2Api.patchFlowSchemaStatusCall(String name, V1Patch body, String pretty, String dryRun, String fieldManager, String fieldValidation, Boolean force, final ApiCallback _callback)",2788,"3,052","10,000","5,817","5,390","21,573"
"io.kubernetes.client.openapi.apis.FlowcontrolApiserverV1beta2Api.patchPriorityLevelConfigurationCall(String name, V1Patch body, String pretty, String dryRun, String fieldManager, String fieldValidation, Boolean force, final ApiCallback _callback)",3036,"3,052","10,000","5,817","5,390","21,573"
"io.kubernetes.client.openapi.apis.FlowcontrolApiserverV1beta2Api.patchPriorityLevelConfigurationStatusCall(String name, V1Patch body, String pretty, String dryRun, String fieldManager, String fieldValidation, Boolean force, final ApiCallback _callback)",3284,"3,052","10,000","5,817","5,390","21,573"
"io.kubernetes.client.openapi.apis.FlowcontrolApiserverV1beta3Api.deleteFlowSchemaCall(String name, String pretty, String dryRun, Integer gracePeriodSeconds, Boolean orphanDependents, String propagationPolicy, V1DeleteOptions body, final ApiCallback _callback)",1254,"3,052","10,000","5,817","5,390","21,573"
"io.kubernetes.client.openapi.apis.FlowcontrolApiserverV1beta3Api.deletePriorityLevelConfigurationCall(String name, String pretty, String dryRun, Integer gracePeriodSeconds, Boolean orphanDependents, String propagationPolicy, V1DeleteOptions body, final ApiCallback _callback)",1505,"3,052","10,000","5,817","5,390","21,573"
"io.kubernetes.client.openapi.apis.FlowcontrolApiserverV1beta3Api.patchFlowSchemaCall(String name, V1Patch body, String pretty, String dryRun, String fieldManager, String fieldValidation, Boolean force, final ApiCallback _callback)",2540,"3,052","10,000","5,817","5,390","21,573"
"io.kubernetes.client.openapi.apis.FlowcontrolApiserverV1beta3Api.patchFlowSchemaStatusCall(String name, V1Patch body, String pretty, String dryRun, String fieldManager, String fieldValidation, Boolean force, final ApiCallback _callback)",2788,"3,052","10,000","5,817","5,390","21,573"
"io.kubernetes.client.openapi.apis.FlowcontrolApiserverV1beta3Api.patchPriorityLevelConfigurationCall(String name, V1Patch body, String pretty, String dryRun, String fieldManager, String fieldValidation, Boolean force, final ApiCallback _callback)",3036,"3,052","10,000","5,817","5,390","21,573"
"io.kubernetes.client.openapi.apis.FlowcontrolApiserverV1beta3Api.patchPriorityLevelConfigurationStatusCall(String name, V1Patch body, String pretty, String dryRun, String fieldManager, String fieldValidation, Boolean force, final ApiCallback _callback)",3284,"3,052","10,000","5,817","5,390","21,573"
"io.kubernetes.client.openapi.apis.InternalApiserverV1alpha1Api.deleteStorageVersionCall(String name, String pretty, String dryRun, Integer gracePeriodSeconds, Boolean orphanDependents, String propagationPolicy, V1DeleteOptions body, final ApiCallback _callback)",666,"3,052","10,000","5,817","5,390","21,573"
"io.kubernetes.client.openapi.apis.InternalApiserverV1alpha1Api.patchStorageVersionCall(String name, V1Patch body, String pretty, String dryRun, String fieldManager, String fieldValidation, Boolean force, final ApiCallback _callback)",1384,"3,052","10,000","5,817","5,390","21,573"
"io.kubernetes.client.openapi.apis.InternalApiserverV1alpha1Api.patchStorageVersionStatusCall(String name, V1Patch body, String pretty, String dryRun, String fieldManager, String fieldValidation, Boolean force, final ApiCallback _callback)",1632,"3,052","10,000","5,817","5,390","21,573"
"io.kubernetes.client.openapi.apis.NetworkingV1alpha1Api.deleteClusterCIDRCall(String name, String pretty, String dryRun, Integer gracePeriodSeconds, Boolean orphanDependents, String propagationPolicy, V1DeleteOptions body, final ApiCallback _callback)",540,"3,052","10,000","5,817","5,390","21,573"
"io.kubernetes.client.openapi.apis.NetworkingV1alpha1Api.deleteIPAddressCall(String name, String pretty, String dryRun, Integer gracePeriodSeconds, Boolean orphanDependents, String propagationPolicy, V1DeleteOptions body, final ApiCallback _callback)",1505,"3,052","10,000","5,817","5,390","21,573"
"io.kubernetes.client.openapi.apis.NetworkingV1alpha1Api.patchClusterCIDRCall(String name, V1Patch body, String pretty, String dryRun, String fieldManager, String fieldValidation, Boolean force, final ApiCallback _callback)",2540,"3,052","10,000","5,817","5,390","21,573"
"io.kubernetes.client.openapi.apis.NetworkingV1alpha1Api.patchIPAddressCall(String name, V1Patch body, String pretty, String dryRun, String fieldManager, String fieldValidation, Boolean force, final ApiCallback _callback)",2788,"3,052","10,000","5,817","5,390","21,573"
"io.kubernetes.client.openapi.apis.NetworkingV1Api.deleteIngressClassCall(String name, String pretty, String dryRun, Integer gracePeriodSeconds, Boolean orphanDependents, String propagationPolicy, V1DeleteOptions body, final ApiCallback _callback)",1878,"3,052","10,000","5,817","5,390","21,573"
"io.kubernetes.client.openapi.apis.NetworkingV1Api.patchIngressClassCall(String name, V1Patch body, String pretty, String dryRun, String fieldManager, String fieldValidation, Boolean force, final ApiCallback _callback)",4402,"3,052","10,000","5,817","5,390","21,573"
"io.kubernetes.client.openapi.apis.NodeV1Api.deleteRuntimeClassCall(String name, String pretty, String dryRun, Integer gracePeriodSeconds, Boolean orphanDependents, String propagationPolicy, V1DeleteOptions body, final ApiCallback _callback)",666,"3,052","10,000","5,817","5,390","21,573"
"io.kubernetes.client.openapi.apis.NodeV1Api.patchRuntimeClassCall(String name, V1Patch body, String pretty, String dryRun, String fieldManager, String fieldValidation, Boolean force, final ApiCallback _callback)",1384,"3,052","10,000","5,817","5,390","21,573"
"io.kubernetes.client.openapi.apis.RbacAuthorizationV1Api.deleteClusterRoleCall(String name, String pretty, String dryRun, Integer gracePeriodSeconds, Boolean orphanDependents, String propagationPolicy, V1DeleteOptions body, final ApiCallback _callback)",1020,"3,052","10,000","5,817","5,390","21,573"
"io.kubernetes.client.openapi.apis.RbacAuthorizationV1Api.deleteClusterRoleBindingCall(String name, String pretty, String dryRun, Integer gracePeriodSeconds, Boolean orphanDependents, String propagationPolicy, V1DeleteOptions body, final ApiCallback _callback)",1271,"3,052","10,000","5,817","5,390","21,573"
"io.kubernetes.client.openapi.apis.RbacAuthorizationV1Api.patchClusterRoleCall(String name, V1Patch body, String pretty, String dryRun, String fieldManager, String fieldValidation, Boolean force, final ApiCallback _callback)",5558,"3,052","10,000","5,817","5,390","21,573"
"io.kubernetes.client.openapi.apis.RbacAuthorizationV1Api.patchClusterRoleBindingCall(String name, V1Patch body, String pretty, String dryRun, String fieldManager, String fieldValidation, Boolean force, final ApiCallback _callback)",5806,"3,052","10,000","5,817","5,390","21,573"
"io.kubernetes.client.openapi.apis.ResourceV1alpha2Api.deleteResourceClassCall(String name, String pretty, String dryRun, Integer gracePeriodSeconds, Boolean orphanDependents, String propagationPolicy, V1DeleteOptions body, final ApiCallback _callback)",3264,"3,052","10,000","5,817","5,390","21,573"
"io.kubernetes.client.openapi.apis.ResourceV1alpha2Api.patchResourceClassCall(String name, V1Patch body, String pretty, String dryRun, String fieldManager, String fieldValidation, Boolean force, final ApiCallback _callback)",7196,"3,052","10,000","5,817","5,390","21,573"
"io.kubernetes.client.openapi.apis.SchedulingV1Api.deletePriorityClassCall(String name, String pretty, String dryRun, Integer gracePeriodSeconds, Boolean orphanDependents, String propagationPolicy, V1DeleteOptions body, final ApiCallback _callback)",666,"3,052","10,000","5,817","5,390","21,573"
"io.kubernetes.client.openapi.apis.SchedulingV1Api.patchPriorityClassCall(String name, V1Patch body, String pretty, String dryRun, String fieldManager, String fieldValidation, Boolean force, final ApiCallback _callback)",1384,"3,052","10,000","5,817","5,390","21,573"
"io.kubernetes.client.openapi.apis.StorageV1Api.deleteCSIDriverCall(String name, String pretty, String dryRun, Integer gracePeriodSeconds, Boolean orphanDependents, String propagationPolicy, V1DeleteOptions body, final ApiCallback _callback)",1242,"3,052","10,000","5,817","5,390","21,573"
"io.kubernetes.client.openapi.apis.StorageV1Api.deleteCSINodeCall(String name, String pretty, String dryRun, Integer gracePeriodSeconds, Boolean orphanDependents, String propagationPolicy, V1DeleteOptions body, final ApiCallback _callback)",1493,"3,052","10,000","5,817","5,390","21,573"
"io.kubernetes.client.openapi.apis.StorageV1Api.deleteStorageClassCall(String name, String pretty, String dryRun, Integer gracePeriodSeconds, Boolean orphanDependents, String propagationPolicy, V1DeleteOptions body, final ApiCallback _callback)",3798,"3,052","10,000","5,817","5,390","21,573"
"io.kubernetes.client.openapi.apis.StorageV1Api.deleteVolumeAttachmentCall(String name, String pretty, String dryRun, Integer gracePeriodSeconds, Boolean orphanDependents, String propagationPolicy, V1DeleteOptions body, final ApiCallback _callback)",4049,"3,052","10,000","5,817","5,390","21,573"
"io.kubernetes.client.openapi.apis.StorageV1Api.patchCSIDriverCall(String name, V1Patch body, String pretty, String dryRun, String fieldManager, String fieldValidation, Boolean force, final ApiCallback _callback)",6361,"3,052","10,000","5,817","5,390","21,573"
"io.kubernetes.client.openapi.apis.StorageV1Api.patchCSINodeCall(String name, V1Patch body, String pretty, String dryRun, String fieldManager, String fieldValidation, Boolean force, final ApiCallback _callback)",6609,"3,052","10,000","5,817","5,390","21,573"
"io.kubernetes.client.openapi.apis.StorageV1Api.patchStorageClassCall(String name, V1Patch body, String pretty, String dryRun, String fieldManager, String fieldValidation, Boolean force, final ApiCallback _callback)",7114,"3,052","10,000","5,817","5,390","21,573"
"io.kubernetes.client.openapi.apis.StorageV1Api.patchVolumeAttachmentCall(String name, V1Patch body, String pretty, String dryRun, String fieldManager, String fieldValidation, Boolean force, final ApiCallback _callback)",7362,"3,052","10,000","5,817","5,390","21,573"
"io.kubernetes.client.openapi.apis.StorageV1Api.patchVolumeAttachmentStatusCall(String name, V1Patch body, String pretty, String dryRun, String fieldManager, String fieldValidation, Boolean force, final ApiCallback _callback)",7610,"3,052","10,000","5,817","5,390","21,573"
"io.kubernetes.client.openapi.apis.CoreV1Api.connectGetNamespacedPodAttachCall(String name, String namespace, String container, Boolean stderr, Boolean stdin, Boolean stdout, Boolean tty, final ApiCallback _callback)",1209,"3,031","10,000","5,817","5,390","21,426"
"io.kubernetes.client.openapi.apis.CoreV1Api.connectPostNamespacedPodAttachCall(String name, String namespace, String container, Boolean stderr, Boolean stdin, Boolean stdout, Boolean tty, final ApiCallback _callback)",6267,"3,031","10,000","5,817","5,390","21,426"
"io.kubernetes.client.openapi.apis.CustomObjectsApi.createClusterCustomObjectCall(String group, String version, String plural, Object body, String pretty, String dryRun, String fieldManager, String fieldValidation, final ApiCallback _callback)",76,"3,010","10,000","5,817","5,390","21,279"
"io.kubernetes.client.openapi.apis.CustomObjectsApi.replaceNamespacedCustomObjectScaleCall(String group, String version, String namespace, String plural, String name, Object body, String dryRun, String fieldManager, String fieldValidation, final ApiCallback _callback)",6151,"3,010","10,000","5,817","5,390","21,279"
"io.kubernetes.client.openapi.apis.CustomObjectsApi.replaceNamespacedCustomObjectStatusCall(String group, String version, String namespace, String plural, String name, Object body, String dryRun, String fieldManager, String fieldValidation, final ApiCallback _callback)",6405,"3,010","10,000","5,817","5,390","21,279"
"io.kubernetes.client.openapi.apis.CustomObjectsApi.replaceNamespacedCustomObjectCall(String group, String version, String namespace, String plural, String name, Object body, String dryRun, String fieldManager, String fieldValidation, final ApiCallback _callback)",5904,"2,989","10,000","5,817","5,390","21,131"
"io.kubernetes.client.openapi.apis.AppsV1Api.replaceNamespacedControllerRevisionCall(String name, String namespace, V1ControllerRevision body, String pretty, String dryRun, String fieldManager, String fieldValidation, final ApiCallback _callback)",13054,"2,942","10,000","5,817","5,390","20,800"
"io.kubernetes.client.openapi.apis.AppsV1Api.replaceNamespacedDaemonSetCall(String name, String namespace, V1DaemonSet body, String pretty, String dryRun, String fieldManager, String fieldValidation, final ApiCallback _callback)",13296,"2,942","10,000","5,817","5,390","20,800"
"io.kubernetes.client.openapi.apis.AppsV1Api.replaceNamespacedDaemonSetStatusCall(String name, String namespace, V1DaemonSet body, String pretty, String dryRun, String fieldManager, String fieldValidation, final ApiCallback _callback)",13538,"2,942","10,000","5,817","5,390","20,800"
"io.kubernetes.client.openapi.apis.AppsV1Api.replaceNamespacedDeploymentCall(String name, String namespace, V1Deployment body, String pretty, String dryRun, String fieldManager, String fieldValidation, final ApiCallback _callback)",13780,"2,942","10,000","5,817","5,390","20,800"
"io.kubernetes.client.openapi.apis.AppsV1Api.replaceNamespacedDeploymentScaleCall(String name, String namespace, V1Scale body, String pretty, String dryRun, String fieldManager, String fieldValidation, final ApiCallback _callback)",14022,"2,942","10,000","5,817","5,390","20,800"
"io.kubernetes.client.openapi.apis.AppsV1Api.replaceNamespacedDeploymentStatusCall(String name, String namespace, V1Deployment body, String pretty, String dryRun, String fieldManager, String fieldValidation, final ApiCallback _callback)",14264,"2,942","10,000","5,817","5,390","20,800"
"io.kubernetes.client.openapi.apis.AppsV1Api.replaceNamespacedReplicaSetCall(String name, String namespace, V1ReplicaSet body, String pretty, String dryRun, String fieldManager, String fieldValidation, final ApiCallback _callback)",14506,"2,942","10,000","5,817","5,390","20,800"
"io.kubernetes.client.openapi.apis.AppsV1Api.replaceNamespacedReplicaSetScaleCall(String name, String namespace, V1Scale body, String pretty, String dryRun, String fieldManager, String fieldValidation, final ApiCallback _callback)",14748,"2,942","10,000","5,817","5,390","20,800"
"io.kubernetes.client.openapi.apis.AppsV1Api.replaceNamespacedReplicaSetStatusCall(String name, String namespace, V1ReplicaSet body, String pretty, String dryRun, String fieldManager, String fieldValidation, final ApiCallback _callback)",14990,"2,942","10,000","5,817","5,390","20,800"
"io.kubernetes.client.openapi.apis.AppsV1Api.replaceNamespacedStatefulSetCall(String name, String namespace, V1StatefulSet body, String pretty, String dryRun, String fieldManager, String fieldValidation, final ApiCallback _callback)",15232,"2,942","10,000","5,817","5,390","20,800"
"io.kubernetes.client.openapi.apis.AppsV1Api.replaceNamespacedStatefulSetScaleCall(String name, String namespace, V1Scale body, String pretty, String dryRun, String fieldManager, String fieldValidation, final ApiCallback _callback)",15474,"2,942","10,000","5,817","5,390","20,800"
"io.kubernetes.client.openapi.apis.AppsV1Api.replaceNamespacedStatefulSetStatusCall(String name, String namespace, V1StatefulSet body, String pretty, String dryRun, String fieldManager, String fieldValidation, final ApiCallback _callback)",15716,"2,942","10,000","5,817","5,390","20,800"
"io.kubernetes.client.openapi.apis.AutoscalingV1Api.replaceNamespacedHorizontalPodAutoscalerCall(String name, String namespace, V1HorizontalPodAutoscaler body, String pretty, String dryRun, String fieldManager, String fieldValidation, final ApiCallback _callback)",2617,"2,942","10,000","5,817","5,390","20,800"
"io.kubernetes.client.openapi.apis.AutoscalingV1Api.replaceNamespacedHorizontalPodAutoscalerStatusCall(String name, String namespace, V1HorizontalPodAutoscaler body, String pretty, String dryRun, String fieldManager, String fieldValidation, final ApiCallback _callback)",2859,"2,942","10,000","5,817","5,390","20,800"
"io.kubernetes.client.openapi.apis.AutoscalingV2Api.replaceNamespacedHorizontalPodAutoscalerCall(String name, String namespace, V2HorizontalPodAutoscaler body, String pretty, String dryRun, String fieldManager, String fieldValidation, final ApiCallback _callback)",2617,"2,942","10,000","5,817","5,390","20,800"
"io.kubernetes.client.openapi.apis.AutoscalingV2Api.replaceNamespacedHorizontalPodAutoscalerStatusCall(String name, String namespace, V2HorizontalPodAutoscaler body, String pretty, String dryRun, String fieldManager, String fieldValidation, final ApiCallback _callback)",2859,"2,942","10,000","5,817","5,390","20,800"
"io.kubernetes.client.openapi.apis.BatchV1Api.replaceNamespacedCronJobCall(String name, String namespace, V1CronJob body, String pretty, String dryRun, String fieldManager, String fieldValidation, final ApiCallback _callback)",5006,"2,942","10,000","5,817","5,390","20,800"
"io.kubernetes.client.openapi.apis.BatchV1Api.replaceNamespacedCronJobStatusCall(String name, String namespace, V1CronJob body, String pretty, String dryRun, String fieldManager, String fieldValidation, final ApiCallback _callback)",5248,"2,942","10,000","5,817","5,390","20,800"
"io.kubernetes.client.openapi.apis.BatchV1Api.replaceNamespacedJobCall(String name, String namespace, V1Job body, String pretty, String dryRun, String fieldManager, String fieldValidation, final ApiCallback _callback)",5490,"2,942","10,000","5,817","5,390","20,800"
"io.kubernetes.client.openapi.apis.BatchV1Api.replaceNamespacedJobStatusCall(String name, String namespace, V1Job body, String pretty, String dryRun, String fieldManager, String fieldValidation, final ApiCallback _callback)",5732,"2,942","10,000","5,817","5,390","20,800"
"io.kubernetes.client.openapi.apis.CoordinationV1Api.replaceNamespacedLeaseCall(String name, String namespace, V1Lease body, String pretty, String dryRun, String fieldManager, String fieldValidation, final ApiCallback _callback)",2177,"2,942","10,000","5,817","5,390","20,800"
"io.kubernetes.client.openapi.apis.CoreV1Api.createNamespacedPodBindingCall(String name, String namespace, V1Binding body, String dryRun, String fieldManager, String fieldValidation, String pretty, final ApiCallback _callback)",11030,"2,942","10,000","5,817","5,390","20,800"
"io.kubernetes.client.openapi.apis.CoreV1Api.createNamespacedPodEvictionCall(String name, String namespace, V1Eviction body, String dryRun, String fieldManager, String fieldValidation, String pretty, final ApiCallback _callback)",11277,"2,942","10,000","5,817","5,390","20,800"
"io.kubernetes.client.openapi.apis.CoreV1Api.createNamespacedServiceAccountTokenCall(String name, String namespace, AuthenticationV1TokenRequest body, String dryRun, String fieldManager, String fieldValidation, String pretty, final ApiCallback _callback)",12952,"2,942","10,000","5,817","5,390","20,800"
"io.kubernetes.client.openapi.apis.CoreV1Api.replaceNamespacedConfigMapCall(String name, String namespace, V1ConfigMap body, String pretty, String dryRun, String fieldManager, String fieldValidation, final ApiCallback _callback)",43839,"2,942","10,000","5,817","5,390","20,800"
"io.kubernetes.client.openapi.apis.CoreV1Api.replaceNamespacedEndpointsCall(String name, String namespace, V1Endpoints body, String pretty, String dryRun, String fieldManager, String fieldValidation, final ApiCallback _callback)",44081,"2,942","10,000","5,817","5,390","20,800"
"io.kubernetes.client.openapi.apis.CoreV1Api.replaceNamespacedEventCall(String name, String namespace, CoreV1Event body, String pretty, String dryRun, String fieldManager, String fieldValidation, final ApiCallback _callback)",44323,"2,942","10,000","5,817","5,390","20,800"
"io.kubernetes.client.openapi.apis.CoreV1Api.replaceNamespacedLimitRangeCall(String name, String namespace, V1LimitRange body, String pretty, String dryRun, String fieldManager, String fieldValidation, final ApiCallback _callback)",44565,"2,942","10,000","5,817","5,390","20,800"
"io.kubernetes.client.openapi.apis.CoreV1Api.replaceNamespacedPersistentVolumeClaimCall(String name, String namespace, V1PersistentVolumeClaim body, String pretty, String dryRun, String fieldManager, String fieldValidation, final ApiCallback _callback)",44807,"2,942","10,000","5,817","5,390","20,800"
"io.kubernetes.client.openapi.apis.CoreV1Api.replaceNamespacedPersistentVolumeClaimStatusCall(String name, String namespace, V1PersistentVolumeClaim body, String pretty, String dryRun, String fieldManager, String fieldValidation, final ApiCallback _callback)",45049,"2,942","10,000","5,817","5,390","20,800"
"io.kubernetes.client.openapi.apis.CoreV1Api.replaceNamespacedPodCall(String name, String namespace, V1Pod body, String pretty, String dryRun, String fieldManager, String fieldValidation, final ApiCallback _callback)",45291,"2,942","10,000","5,817","5,390","20,800"
"io.kubernetes.client.openapi.apis.CoreV1Api.replaceNamespacedPodEphemeralcontainersCall(String name, String namespace, V1Pod body, String pretty, String dryRun, String fieldManager, String fieldValidation, final ApiCallback _callback)",45533,"2,942","10,000","5,817","5,390","20,800"
"io.kubernetes.client.openapi.apis.CoreV1Api.replaceNamespacedPodStatusCall(String name, String namespace, V1Pod body, String pretty, String dryRun, String fieldManager, String fieldValidation, final ApiCallback _callback)",45775,"2,942","10,000","5,817","5,390","20,800"
"io.kubernetes.client.openapi.apis.CoreV1Api.replaceNamespacedPodTemplateCall(String name, String namespace, V1PodTemplate body, String pretty, String dryRun, String fieldManager, String fieldValidation, final ApiCallback _callback)",46017,"2,942","10,000","5,817","5,390","20,800"
"io.kubernetes.client.openapi.apis.CoreV1Api.replaceNamespacedReplicationControllerCall(String name, String namespace, V1ReplicationController body, String pretty, String dryRun, String fieldManager, String fieldValidation, final ApiCallback _callback)",46259,"2,942","10,000","5,817","5,390","20,800"
"io.kubernetes.client.openapi.apis.CoreV1Api.replaceNamespacedReplicationControllerScaleCall(String name, String namespace, V1Scale body, String pretty, String dryRun, String fieldManager, String fieldValidation, final ApiCallback _callback)",46501,"2,942","10,000","5,817","5,390","20,800"
"io.kubernetes.client.openapi.apis.CoreV1Api.replaceNamespacedReplicationControllerStatusCall(String name, String namespace, V1ReplicationController body, String pretty, String dryRun, String fieldManager, String fieldValidation, final ApiCallback _callback)",46743,"2,942","10,000","5,817","5,390","20,800"
"io.kubernetes.client.openapi.apis.CoreV1Api.replaceNamespacedResourceQuotaCall(String name, String namespace, V1ResourceQuota body, String pretty, String dryRun, String fieldManager, String fieldValidation, final ApiCallback _callback)",46985,"2,942","10,000","5,817","5,390","20,800"
"io.kubernetes.client.openapi.apis.CoreV1Api.replaceNamespacedResourceQuotaStatusCall(String name, String namespace, V1ResourceQuota body, String pretty, String dryRun, String fieldManager, String fieldValidation, final ApiCallback _callback)",47227,"2,942","10,000","5,817","5,390","20,800"
"io.kubernetes.client.openapi.apis.CoreV1Api.replaceNamespacedSecretCall(String name, String namespace, V1Secret body, String pretty, String dryRun, String fieldManager, String fieldValidation, final ApiCallback _callback)",47469,"2,942","10,000","5,817","5,390","20,800"
"io.kubernetes.client.openapi.apis.CoreV1Api.replaceNamespacedServiceCall(String name, String namespace, V1Service body, String pretty, String dryRun, String fieldManager, String fieldValidation, final ApiCallback _callback)",47711,"2,942","10,000","5,817","5,390","20,800"
"io.kubernetes.client.openapi.apis.CoreV1Api.replaceNamespacedServiceAccountCall(String name, String namespace, V1ServiceAccount body, String pretty, String dryRun, String fieldManager, String fieldValidation, final ApiCallback _callback)",47953,"2,942","10,000","5,817","5,390","20,800"
"io.kubernetes.client.openapi.apis.CoreV1Api.replaceNamespacedServiceStatusCall(String name, String namespace, V1Service body, String pretty, String dryRun, String fieldManager, String fieldValidation, final ApiCallback _callback)",48195,"2,942","10,000","5,817","5,390","20,800"
"io.kubernetes.client.openapi.apis.DiscoveryV1Api.replaceNamespacedEndpointSliceCall(String name, String namespace, V1EndpointSlice body, String pretty, String dryRun, String fieldManager, String fieldValidation, final ApiCallback _callback)",2177,"2,942","10,000","5,817","5,390","20,800"
"io.kubernetes.client.openapi.apis.EventsV1Api.replaceNamespacedEventCall(String name, String namespace, EventsV1Event body, String pretty, String dryRun, String fieldManager, String fieldValidation, final ApiCallback _callback)",2177,"2,942","10,000","5,817","5,390","20,800"
"io.kubernetes.client.openapi.apis.NetworkingV1Api.replaceNamespacedIngressCall(String name, String namespace, V1Ingress body, String pretty, String dryRun, String fieldManager, String fieldValidation, final ApiCallback _callback)",6377,"2,942","10,000","5,817","5,390","20,800"
"io.kubernetes.client.openapi.apis.NetworkingV1Api.replaceNamespacedIngressStatusCall(String name, String namespace, V1Ingress body, String pretty, String dryRun, String fieldManager, String fieldValidation, final ApiCallback _callback)",6619,"2,942","10,000","5,817","5,390","20,800"
"io.kubernetes.client.openapi.apis.NetworkingV1Api.replaceNamespacedNetworkPolicyCall(String name, String namespace, V1NetworkPolicy body, String pretty, String dryRun, String fieldManager, String fieldValidation, final ApiCallback _callback)",6861,"2,942","10,000","5,817","5,390","20,800"
"io.kubernetes.client.openapi.apis.PolicyV1Api.replaceNamespacedPodDisruptionBudgetCall(String name, String namespace, V1PodDisruptionBudget body, String pretty, String dryRun, String fieldManager, String fieldValidation, final ApiCallback _callback)",2617,"2,942","10,000","5,817","5,390","20,800"
"io.kubernetes.client.openapi.apis.PolicyV1Api.replaceNamespacedPodDisruptionBudgetStatusCall(String name, String namespace, V1PodDisruptionBudget body, String pretty, String dryRun, String fieldManager, String fieldValidation, final ApiCallback _callback)",2859,"2,942","10,000","5,817","5,390","20,800"
"io.kubernetes.client.openapi.apis.RbacAuthorizationV1Api.replaceNamespacedRoleCall(String name, String namespace, V1Role body, String pretty, String dryRun, String fieldManager, String fieldValidation, final ApiCallback _callback)",7748,"2,942","10,000","5,817","5,390","20,800"
"io.kubernetes.client.openapi.apis.RbacAuthorizationV1Api.replaceNamespacedRoleBindingCall(String name, String namespace, V1RoleBinding body, String pretty, String dryRun, String fieldManager, String fieldValidation, final ApiCallback _callback)",7990,"2,942","10,000","5,817","5,390","20,800"
"io.kubernetes.client.openapi.apis.ResourceV1alpha2Api.replaceNamespacedPodSchedulingContextCall(String name, String namespace, V1alpha2PodSchedulingContext body, String pretty, String dryRun, String fieldManager, String fieldValidation, final ApiCallback _callback)",8533,"2,942","10,000","5,817","5,390","20,800"
"io.kubernetes.client.openapi.apis.ResourceV1alpha2Api.replaceNamespacedPodSchedulingContextStatusCall(String name, String namespace, V1alpha2PodSchedulingContext body, String pretty, String dryRun, String fieldManager, String fieldValidation, final ApiCallback _callback)",8775,"2,942","10,000","5,817","5,390","20,800"
"io.kubernetes.client.openapi.apis.ResourceV1alpha2Api.replaceNamespacedResourceClaimCall(String name, String namespace, V1alpha2ResourceClaim body, String pretty, String dryRun, String fieldManager, String fieldValidation, final ApiCallback _callback)",9017,"2,942","10,000","5,817","5,390","20,800"
"io.kubernetes.client.openapi.apis.ResourceV1alpha2Api.replaceNamespacedResourceClaimStatusCall(String name, String namespace, V1alpha2ResourceClaim body, String pretty, String dryRun, String fieldManager, String fieldValidation, final ApiCallback _callback)",9259,"2,942","10,000","5,817","5,390","20,800"
"io.kubernetes.client.openapi.apis.ResourceV1alpha2Api.replaceNamespacedResourceClaimTemplateCall(String name, String namespace, V1alpha2ResourceClaimTemplate body, String pretty, String dryRun, String fieldManager, String fieldValidation, final ApiCallback _callback)",9501,"2,942","10,000","5,817","5,390","20,800"
"io.kubernetes.client.openapi.apis.StorageV1Api.replaceNamespacedCSIStorageCapacityCall(String name, String namespace, V1CSIStorageCapacity body, String pretty, String dryRun, String fieldManager, String fieldValidation, final ApiCallback _callback)",9377,"2,942","10,000","5,817","5,390","20,800"
"io.kubernetes.client.openapi.apis.CustomObjectsApi.replaceClusterCustomObjectScaleCall(String group, String version, String plural, String name, Object body, String dryRun, String fieldManager, String fieldValidation, final ApiCallback _callback)",5414,"2,921","10,000","5,817","5,390","20,652"
"io.kubernetes.client.openapi.apis.CustomObjectsApi.replaceClusterCustomObjectStatusCall(String group, String version, String plural, String name, Object body, String dryRun, String fieldManager, String fieldValidation, final ApiCallback _callback)",5659,"2,921","10,000","5,817","5,390","20,652"
"io.kubernetes.client.openapi.apis.CustomObjectsApi.replaceClusterCustomObjectCall(String group, String version, String plural, String name, Object body, String dryRun, String fieldManager, String fieldValidation, final ApiCallback _callback)",5176,"2,901","10,000","5,817","5,390","20,505"
"io.kubernetes.client.openapi.apis.AdmissionregistrationV1alpha1Api.replaceValidatingAdmissionPolicyCall(String name, V1alpha1ValidatingAdmissionPolicy body, String pretty, String dryRun, String fieldManager, String fieldValidation, final ApiCallback _callback)",3806,"2,854","10,000","5,817","5,390","20,173"
"io.kubernetes.client.openapi.apis.AdmissionregistrationV1alpha1Api.replaceValidatingAdmissionPolicyBindingCall(String name, V1alpha1ValidatingAdmissionPolicyBinding body, String pretty, String dryRun, String fieldManager, String fieldValidation, final ApiCallback _callback)",4039,"2,854","10,000","5,817","5,390","20,173"
"io.kubernetes.client.openapi.apis.AdmissionregistrationV1alpha1Api.replaceValidatingAdmissionPolicyStatusCall(String name, V1alpha1ValidatingAdmissionPolicy body, String pretty, String dryRun, String fieldManager, String fieldValidation, final ApiCallback _callback)",4272,"2,854","10,000","5,817","5,390","20,173"
"io.kubernetes.client.openapi.apis.AdmissionregistrationV1Api.replaceMutatingWebhookConfigurationCall(String name, V1MutatingWebhookConfiguration body, String pretty, String dryRun, String fieldManager, String fieldValidation, final ApiCallback _callback)",3384,"2,854","10,000","5,817","5,390","20,173"
