"method","line","smell","quality"
"io.kubernetes.client.openapi.apis.AdmissionregistrationV1alpha1Api.patchValidatingAdmissionPolicyBindingCall(String name, V1Patch body, String pretty, String dryRun, String fieldManager, String fieldValidation, Boolean force, final ApiCallback _callback)",2788,"Long Method","Understandability, Maintainability"
"io.kubernetes.client.openapi.apis.AdmissionregistrationV1alpha1Api.patchValidatingAdmissionPolicyBindingCall(String name, V1Patch body, String pretty, String dryRun, String fieldManager, String fieldValidation, Boolean force, final ApiCallback _callback)",2788,"Long Parameter List","Maintainability"
"io.kubernetes.client.openapi.apis.AdmissionregistrationV1alpha1Api.patchValidatingAdmissionPolicyBindingCall(String name, V1Patch body, String pretty, String dryRun, String fieldManager, String fieldValidation, Boolean force, final ApiCallback _callback)",2788,"Complex Method","Maintainability, Understandability, Complexity"
"io.kubernetes.client.openapi.apis.AdmissionregistrationV1alpha1Api.patchValidatingAdmissionPolicyStatusCall(String name, V1Patch body, String pretty, String dryRun, String fieldManager, String fieldValidation, Boolean force, final ApiCallback _callback)",3036,"Long Method","Understandability, Maintainability"
"io.kubernetes.client.openapi.apis.AdmissionregistrationV1alpha1Api.patchValidatingAdmissionPolicyStatusCall(String name, V1Patch body, String pretty, String dryRun, String fieldManager, String fieldValidation, Boolean force, final ApiCallback _callback)",3036,"Long Parameter List","Maintainability"
"io.kubernetes.client.openapi.apis.AdmissionregistrationV1alpha1Api.patchValidatingAdmissionPolicyStatusCall(String name, V1Patch body, String pretty, String dryRun, String fieldManager, String fieldValidation, Boolean force, final ApiCallback _callback)",3036,"Complex Method","Maintainability, Understandability, Complexity"
"io.kubernetes.client.openapi.apis.AdmissionregistrationV1Api.deleteMutatingWebhookConfigurationCall(String name, String pretty, String dryRun, Integer gracePeriodSeconds, Boolean orphanDependents, String propagationPolicy, V1DeleteOptions body, final ApiCallback _callback)",1254,"Long Method","Understandability, Maintainability"
"io.kubernetes.client.openapi.apis.AdmissionregistrationV1Api.deleteMutatingWebhookConfigurationCall(String name, String pretty, String dryRun, Integer gracePeriodSeconds, Boolean orphanDependents, String propagationPolicy, V1DeleteOptions body, final ApiCallback _callback)",1254,"Long Parameter List","Maintainability"
"io.kubernetes.client.openapi.apis.AdmissionregistrationV1Api.deleteMutatingWebhookConfigurationCall(String name, String pretty, String dryRun, Integer gracePeriodSeconds, Boolean orphanDependents, String propagationPolicy, V1DeleteOptions body, final ApiCallback _callback)",1254,"Complex Method","Maintainability, Understandability, Complexity"
"io.kubernetes.client.openapi.apis.AdmissionregistrationV1Api.deleteValidatingWebhookConfigurationCall(String name, String pretty, String dryRun, Integer gracePeriodSeconds, Boolean orphanDependents, String propagationPolicy, V1DeleteOptions body, final ApiCallback _callback)",1505,"Long Method","Understandability, Maintainability"
"io.kubernetes.client.openapi.apis.AdmissionregistrationV1Api.deleteValidatingWebhookConfigurationCall(String name, String pretty, String dryRun, Integer gracePeriodSeconds, Boolean orphanDependents, String propagationPolicy, V1DeleteOptions body, final ApiCallback _callback)",1505,"Long Parameter List","Maintainability"
"io.kubernetes.client.openapi.apis.AdmissionregistrationV1Api.deleteValidatingWebhookConfigurationCall(String name, String pretty, String dryRun, Integer gracePeriodSeconds, Boolean orphanDependents, String propagationPolicy, V1DeleteOptions body, final ApiCallback _callback)",1505,"Complex Method","Maintainability, Understandability, Complexity"
"io.kubernetes.client.openapi.apis.AdmissionregistrationV1Api.patchMutatingWebhookConfigurationCall(String name, V1Patch body, String pretty, String dryRun, String fieldManager, String fieldValidation, Boolean force, final ApiCallback _callback)",2540,"Long Method","Understandability, Maintainability"
"io.kubernetes.client.openapi.apis.AdmissionregistrationV1Api.patchMutatingWebhookConfigurationCall(String name, V1Patch body, String pretty, String dryRun, String fieldManager, String fieldValidation, Boolean force, final ApiCallback _callback)",2540,"Long Parameter List","Maintainability"
"io.kubernetes.client.openapi.apis.AdmissionregistrationV1Api.patchMutatingWebhookConfigurationCall(String name, V1Patch body, String pretty, String dryRun, String fieldManager, String fieldValidation, Boolean force, final ApiCallback _callback)",2540,"Complex Method","Maintainability, Understandability, Complexity"
"io.kubernetes.client.openapi.apis.AdmissionregistrationV1Api.patchValidatingWebhookConfigurationCall(String name, V1Patch body, String pretty, String dryRun, String fieldManager, String fieldValidation, Boolean force, final ApiCallback _callback)",2788,"Long Method","Understandability, Maintainability"
"io.kubernetes.client.openapi.apis.AdmissionregistrationV1Api.patchValidatingWebhookConfigurationCall(String name, V1Patch body, String pretty, String dryRun, String fieldManager, String fieldValidation, Boolean force, final ApiCallback _callback)",2788,"Long Parameter List","Maintainability"
"io.kubernetes.client.openapi.apis.AdmissionregistrationV1Api.patchValidatingWebhookConfigurationCall(String name, V1Patch body, String pretty, String dryRun, String fieldManager, String fieldValidation, Boolean force, final ApiCallback _callback)",2788,"Complex Method","Maintainability, Understandability, Complexity"
"io.kubernetes.client.openapi.apis.AdmissionregistrationV1beta1Api.deleteValidatingAdmissionPolicyCall(String name, String pretty, String dryRun, Integer gracePeriodSeconds, Boolean orphanDependents, String propagationPolicy, V1DeleteOptions body, final ApiCallback _callback)",1254,"Long Method","Understandability, Maintainability"
"io.kubernetes.client.openapi.apis.AdmissionregistrationV1beta1Api.deleteValidatingAdmissionPolicyCall(String name, String pretty, String dryRun, Integer gracePeriodSeconds, Boolean orphanDependents, String propagationPolicy, V1DeleteOptions body, final ApiCallback _callback)",1254,"Long Parameter List","Maintainability"
"io.kubernetes.client.openapi.apis.AdmissionregistrationV1beta1Api.deleteValidatingAdmissionPolicyCall(String name, String pretty, String dryRun, Integer gracePeriodSeconds, Boolean orphanDependents, String propagationPolicy, V1DeleteOptions body, final ApiCallback _callback)",1254,"Complex Method","Maintainability, Understandability, Complexity"
"io.kubernetes.client.openapi.apis.AdmissionregistrationV1beta1Api.deleteValidatingAdmissionPolicyBindingCall(String name, String pretty, String dryRun, Integer gracePeriodSeconds, Boolean orphanDependents, String propagationPolicy, V1DeleteOptions body, final ApiCallback _callback)",1505,"Long Method","Understandability, Maintainability"
"io.kubernetes.client.openapi.apis.AdmissionregistrationV1beta1Api.deleteValidatingAdmissionPolicyBindingCall(String name, String pretty, String dryRun, Integer gracePeriodSeconds, Boolean orphanDependents, String propagationPolicy, V1DeleteOptions body, final ApiCallback _callback)",1505,"Long Parameter List","Maintainability"
"io.kubernetes.client.openapi.apis.AdmissionregistrationV1beta1Api.deleteValidatingAdmissionPolicyBindingCall(String name, String pretty, String dryRun, Integer gracePeriodSeconds, Boolean orphanDependents, String propagationPolicy, V1DeleteOptions body, final ApiCallback _callback)",1505,"Complex Method","Maintainability, Understandability, Complexity"
"io.kubernetes.client.openapi.apis.AdmissionregistrationV1beta1Api.patchValidatingAdmissionPolicyCall(String name, V1Patch body, String pretty, String dryRun, String fieldManager, String fieldValidation, Boolean force, final ApiCallback _callback)",2540,"Long Method","Understandability, Maintainability"
"io.kubernetes.client.openapi.apis.AdmissionregistrationV1beta1Api.patchValidatingAdmissionPolicyCall(String name, V1Patch body, String pretty, String dryRun, String fieldManager, String fieldValidation, Boolean force, final ApiCallback _callback)",2540,"Long Parameter List","Maintainability"
"io.kubernetes.client.openapi.apis.AdmissionregistrationV1beta1Api.patchValidatingAdmissionPolicyCall(String name, V1Patch body, String pretty, String dryRun, String fieldManager, String fieldValidation, Boolean force, final ApiCallback _callback)",2540,"Complex Method","Maintainability, Understandability, Complexity"
"io.kubernetes.client.openapi.apis.AdmissionregistrationV1beta1Api.patchValidatingAdmissionPolicyBindingCall(String name, V1Patch body, String pretty, String dryRun, String fieldManager, String fieldValidation, Boolean force, final ApiCallback _callback)",2788,"Long Method","Understandability, Maintainability"
"io.kubernetes.client.openapi.apis.AdmissionregistrationV1beta1Api.patchValidatingAdmissionPolicyBindingCall(String name, V1Patch body, String pretty, String dryRun, String fieldManager, String fieldValidation, Boolean force, final ApiCallback _callback)",2788,"Long Parameter List","Maintainability"
"io.kubernetes.client.openapi.apis.AdmissionregistrationV1beta1Api.patchValidatingAdmissionPolicyBindingCall(String name, V1Patch body, String pretty, String dryRun, String fieldManager, String fieldValidation, Boolean force, final ApiCallback _callback)",2788,"Complex Method","Maintainability, Understandability, Complexity"
"io.kubernetes.client.openapi.apis.AdmissionregistrationV1beta1Api.patchValidatingAdmissionPolicyStatusCall(String name, V1Patch body, String pretty, String dryRun, String fieldManager, String fieldValidation, Boolean force, final ApiCallback _callback)",3036,"Long Method","Understandability, Maintainability"
"io.kubernetes.client.openapi.apis.AdmissionregistrationV1beta1Api.patchValidatingAdmissionPolicyStatusCall(String name, V1Patch body, String pretty, String dryRun, String fieldManager, String fieldValidation, Boolean force, final ApiCallback _callback)",3036,"Long Parameter List","Maintainability"
"io.kubernetes.client.openapi.apis.AdmissionregistrationV1beta1Api.patchValidatingAdmissionPolicyStatusCall(String name, V1Patch body, String pretty, String dryRun, String fieldManager, String fieldValidation, Boolean force, final ApiCallback _callback)",3036,"Complex Method","Maintainability, Understandability, Complexity"
"io.kubernetes.client.openapi.apis.ApiextensionsV1Api.deleteCustomResourceDefinitionCall(String name, String pretty, String dryRun, Integer gracePeriodSeconds, Boolean orphanDependents, String propagationPolicy, V1DeleteOptions body, final ApiCallback _callback)",666,"Long Method","Understandability, Maintainability"
"io.kubernetes.client.openapi.apis.ApiextensionsV1Api.deleteCustomResourceDefinitionCall(String name, String pretty, String dryRun, Integer gracePeriodSeconds, Boolean orphanDependents, String propagationPolicy, V1DeleteOptions body, final ApiCallback _callback)",666,"Long Parameter List","Maintainability"
"io.kubernetes.client.openapi.apis.ApiextensionsV1Api.deleteCustomResourceDefinitionCall(String name, String pretty, String dryRun, Integer gracePeriodSeconds, Boolean orphanDependents, String propagationPolicy, V1DeleteOptions body, final ApiCallback _callback)",666,"Complex Method","Maintainability, Understandability, Complexity"
"io.kubernetes.client.openapi.apis.ApiextensionsV1Api.patchCustomResourceDefinitionCall(String name, V1Patch body, String pretty, String dryRun, String fieldManager, String fieldValidation, Boolean force, final ApiCallback _callback)",1384,"Long Method","Understandability, Maintainability"
"io.kubernetes.client.openapi.apis.ApiextensionsV1Api.patchCustomResourceDefinitionCall(String name, V1Patch body, String pretty, String dryRun, String fieldManager, String fieldValidation, Boolean force, final ApiCallback _callback)",1384,"Long Parameter List","Maintainability"
"io.kubernetes.client.openapi.apis.ApiextensionsV1Api.patchCustomResourceDefinitionCall(String name, V1Patch body, String pretty, String dryRun, String fieldManager, String fieldValidation, Boolean force, final ApiCallback _callback)",1384,"Complex Method","Maintainability, Understandability, Complexity"
"io.kubernetes.client.openapi.apis.ApiextensionsV1Api.patchCustomResourceDefinitionStatusCall(String name, V1Patch body, String pretty, String dryRun, String fieldManager, String fieldValidation, Boolean force, final ApiCallback _callback)",1632,"Long Method","Understandability, Maintainability"
"io.kubernetes.client.openapi.apis.ApiextensionsV1Api.patchCustomResourceDefinitionStatusCall(String name, V1Patch body, String pretty, String dryRun, String fieldManager, String fieldValidation, Boolean force, final ApiCallback _callback)",1632,"Long Parameter List","Maintainability"
"io.kubernetes.client.openapi.apis.ApiextensionsV1Api.patchCustomResourceDefinitionStatusCall(String name, V1Patch body, String pretty, String dryRun, String fieldManager, String fieldValidation, Boolean force, final ApiCallback _callback)",1632,"Complex Method","Maintainability, Understandability, Complexity"
"io.kubernetes.client.openapi.apis.ApiregistrationV1Api.deleteAPIServiceCall(String name, String pretty, String dryRun, Integer gracePeriodSeconds, Boolean orphanDependents, String propagationPolicy, V1DeleteOptions body, final ApiCallback _callback)",309,"Long Method","Understandability, Maintainability"
"io.kubernetes.client.openapi.apis.ApiregistrationV1Api.deleteAPIServiceCall(String name, String pretty, String dryRun, Integer gracePeriodSeconds, Boolean orphanDependents, String propagationPolicy, V1DeleteOptions body, final ApiCallback _callback)",309,"Long Parameter List","Maintainability"
"io.kubernetes.client.openapi.apis.ApiregistrationV1Api.deleteAPIServiceCall(String name, String pretty, String dryRun, Integer gracePeriodSeconds, Boolean orphanDependents, String propagationPolicy, V1DeleteOptions body, final ApiCallback _callback)",309,"Complex Method","Maintainability, Understandability, Complexity"
"io.kubernetes.client.openapi.apis.ApiregistrationV1Api.patchAPIServiceCall(String name, V1Patch body, String pretty, String dryRun, String fieldManager, String fieldValidation, Boolean force, final ApiCallback _callback)",1384,"Long Method","Understandability, Maintainability"
"io.kubernetes.client.openapi.apis.ApiregistrationV1Api.patchAPIServiceCall(String name, V1Patch body, String pretty, String dryRun, String fieldManager, String fieldValidation, Boolean force, final ApiCallback _callback)",1384,"Long Parameter List","Maintainability"
"io.kubernetes.client.openapi.apis.ApiregistrationV1Api.patchAPIServiceCall(String name, V1Patch body, String pretty, String dryRun, String fieldManager, String fieldValidation, Boolean force, final ApiCallback _callback)",1384,"Complex Method","Maintainability, Understandability, Complexity"
"io.kubernetes.client.openapi.apis.ApiregistrationV1Api.patchAPIServiceStatusCall(String name, V1Patch body, String pretty, String dryRun, String fieldManager, String fieldValidation, Boolean force, final ApiCallback _callback)",1632,"Long Method","Understandability, Maintainability"
"io.kubernetes.client.openapi.apis.ApiregistrationV1Api.patchAPIServiceStatusCall(String name, V1Patch body, String pretty, String dryRun, String fieldManager, String fieldValidation, Boolean force, final ApiCallback _callback)",1632,"Long Parameter List","Maintainability"
"io.kubernetes.client.openapi.apis.ApiregistrationV1Api.patchAPIServiceStatusCall(String name, V1Patch body, String pretty, String dryRun, String fieldManager, String fieldValidation, Boolean force, final ApiCallback _callback)",1632,"Complex Method","Maintainability, Understandability, Complexity"
"io.kubernetes.client.openapi.apis.CertificatesV1alpha1Api.deleteClusterTrustBundleCall(String name, String pretty, String dryRun, Integer gracePeriodSeconds, Boolean orphanDependents, String propagationPolicy, V1DeleteOptions body, final ApiCallback _callback)",309,"Long Method","Understandability, Maintainability"
"io.kubernetes.client.openapi.apis.CertificatesV1alpha1Api.deleteClusterTrustBundleCall(String name, String pretty, String dryRun, Integer gracePeriodSeconds, Boolean orphanDependents, String propagationPolicy, V1DeleteOptions body, final ApiCallback _callback)",309,"Long Parameter List","Maintainability"
"io.kubernetes.client.openapi.apis.CertificatesV1alpha1Api.deleteClusterTrustBundleCall(String name, String pretty, String dryRun, Integer gracePeriodSeconds, Boolean orphanDependents, String propagationPolicy, V1DeleteOptions body, final ApiCallback _callback)",309,"Complex Method","Maintainability, Understandability, Complexity"
"io.kubernetes.client.openapi.apis.CertificatesV1alpha1Api.patchClusterTrustBundleCall(String name, V1Patch body, String pretty, String dryRun, String fieldManager, String fieldValidation, Boolean force, final ApiCallback _callback)",1384,"Long Method","Understandability, Maintainability"
"io.kubernetes.client.openapi.apis.CertificatesV1alpha1Api.patchClusterTrustBundleCall(String name, V1Patch body, String pretty, String dryRun, String fieldManager, String fieldValidation, Boolean force, final ApiCallback _callback)",1384,"Long Parameter List","Maintainability"
"io.kubernetes.client.openapi.apis.CertificatesV1alpha1Api.patchClusterTrustBundleCall(String name, V1Patch body, String pretty, String dryRun, String fieldManager, String fieldValidation, Boolean force, final ApiCallback _callback)",1384,"Complex Method","Maintainability, Understandability, Complexity"
"io.kubernetes.client.openapi.apis.CertificatesV1Api.deleteCertificateSigningRequestCall(String name, String pretty, String dryRun, Integer gracePeriodSeconds, Boolean orphanDependents, String propagationPolicy, V1DeleteOptions body, final ApiCallback _callback)",309,"Long Method","Understandability, Maintainability"
"io.kubernetes.client.openapi.apis.CertificatesV1Api.deleteCertificateSigningRequestCall(String name, String pretty, String dryRun, Integer gracePeriodSeconds, Boolean orphanDependents, String propagationPolicy, V1DeleteOptions body, final ApiCallback _callback)",309,"Long Parameter List","Maintainability"
"io.kubernetes.client.openapi.apis.CertificatesV1Api.deleteCertificateSigningRequestCall(String name, String pretty, String dryRun, Integer gracePeriodSeconds, Boolean orphanDependents, String propagationPolicy, V1DeleteOptions body, final ApiCallback _callback)",309,"Complex Method","Maintainability, Understandability, Complexity"
"io.kubernetes.client.openapi.apis.CertificatesV1Api.patchCertificateSigningRequestCall(String name, V1Patch body, String pretty, String dryRun, String fieldManager, String fieldValidation, Boolean force, final ApiCallback _callback)",1384,"Long Method","Understandability, Maintainability"
"io.kubernetes.client.openapi.apis.CertificatesV1Api.patchCertificateSigningRequestCall(String name, V1Patch body, String pretty, String dryRun, String fieldManager, String fieldValidation, Boolean force, final ApiCallback _callback)",1384,"Long Parameter List","Maintainability"
"io.kubernetes.client.openapi.apis.CertificatesV1Api.patchCertificateSigningRequestCall(String name, V1Patch body, String pretty, String dryRun, String fieldManager, String fieldValidation, Boolean force, final ApiCallback _callback)",1384,"Complex Method","Maintainability, Understandability, Complexity"
"io.kubernetes.client.openapi.apis.CertificatesV1Api.patchCertificateSigningRequestApprovalCall(String name, V1Patch body, String pretty, String dryRun, String fieldManager, String fieldValidation, Boolean force, final ApiCallback _callback)",1632,"Long Method","Understandability, Maintainability"
"io.kubernetes.client.openapi.apis.CertificatesV1Api.patchCertificateSigningRequestApprovalCall(String name, V1Patch body, String pretty, String dryRun, String fieldManager, String fieldValidation, Boolean force, final ApiCallback _callback)",1632,"Long Parameter List","Maintainability"
"io.kubernetes.client.openapi.apis.CertificatesV1Api.patchCertificateSigningRequestApprovalCall(String name, V1Patch body, String pretty, String dryRun, String fieldManager, String fieldValidation, Boolean force, final ApiCallback _callback)",1632,"Complex Method","Maintainability, Understandability, Complexity"
"io.kubernetes.client.openapi.apis.CertificatesV1Api.patchCertificateSigningRequestStatusCall(String name, V1Patch body, String pretty, String dryRun, String fieldManager, String fieldValidation, Boolean force, final ApiCallback _callback)",1880,"Long Method","Understandability, Maintainability"
"io.kubernetes.client.openapi.apis.CertificatesV1Api.patchCertificateSigningRequestStatusCall(String name, V1Patch body, String pretty, String dryRun, String fieldManager, String fieldValidation, Boolean force, final ApiCallback _callback)",1880,"Long Parameter List","Maintainability"
"io.kubernetes.client.openapi.apis.CertificatesV1Api.patchCertificateSigningRequestStatusCall(String name, V1Patch body, String pretty, String dryRun, String fieldManager, String fieldValidation, Boolean force, final ApiCallback _callback)",1880,"Complex Method","Maintainability, Understandability, Complexity"
"io.kubernetes.client.openapi.apis.CoreV1Api.deleteNamespaceCall(String name, String pretty, String dryRun, Integer gracePeriodSeconds, Boolean orphanDependents, String propagationPolicy, V1DeleteOptions body, final ApiCallback _callback)",18763,"Long Method","Understandability, Maintainability"
"io.kubernetes.client.openapi.apis.CoreV1Api.deleteNamespaceCall(String name, String pretty, String dryRun, Integer gracePeriodSeconds, Boolean orphanDependents, String propagationPolicy, V1DeleteOptions body, final ApiCallback _callback)",18763,"Long Parameter List","Maintainability"
"io.kubernetes.client.openapi.apis.CoreV1Api.deleteNamespaceCall(String name, String pretty, String dryRun, Integer gracePeriodSeconds, Boolean orphanDependents, String propagationPolicy, V1DeleteOptions body, final ApiCallback _callback)",18763,"Complex Method","Maintainability, Understandability, Complexity"
"io.kubernetes.client.openapi.apis.CoreV1Api.deleteNodeCall(String name, String pretty, String dryRun, Integer gracePeriodSeconds, Boolean orphanDependents, String propagationPolicy, V1DeleteOptions body, final ApiCallback _callback)",22134,"Long Method","Understandability, Maintainability"
"io.kubernetes.client.openapi.apis.CoreV1Api.deleteNodeCall(String name, String pretty, String dryRun, Integer gracePeriodSeconds, Boolean orphanDependents, String propagationPolicy, V1DeleteOptions body, final ApiCallback _callback)",22134,"Long Parameter List","Maintainability"
"io.kubernetes.client.openapi.apis.CoreV1Api.deleteNodeCall(String name, String pretty, String dryRun, Integer gracePeriodSeconds, Boolean orphanDependents, String propagationPolicy, V1DeleteOptions body, final ApiCallback _callback)",22134,"Complex Method","Maintainability, Understandability, Complexity"
"io.kubernetes.client.openapi.apis.CoreV1Api.deletePersistentVolumeCall(String name, String pretty, String dryRun, Integer gracePeriodSeconds, Boolean orphanDependents, String propagationPolicy, V1DeleteOptions body, final ApiCallback _callback)",22385,"Long Method","Understandability, Maintainability"
"io.kubernetes.client.openapi.apis.CoreV1Api.deletePersistentVolumeCall(String name, String pretty, String dryRun, Integer gracePeriodSeconds, Boolean orphanDependents, String propagationPolicy, V1DeleteOptions body, final ApiCallback _callback)",22385,"Long Parameter List","Maintainability"
"io.kubernetes.client.openapi.apis.CoreV1Api.deletePersistentVolumeCall(String name, String pretty, String dryRun, Integer gracePeriodSeconds, Boolean orphanDependents, String propagationPolicy, V1DeleteOptions body, final ApiCallback _callback)",22385,"Complex Method","Maintainability, Understandability, Complexity"
"io.kubernetes.client.openapi.apis.CoreV1Api.patchNamespaceCall(String name, V1Patch body, String pretty, String dryRun, String fieldManager, String fieldValidation, Boolean force, final ApiCallback _callback)",31770,"Long Method","Understandability, Maintainability"
"io.kubernetes.client.openapi.apis.CoreV1Api.patchNamespaceCall(String name, V1Patch body, String pretty, String dryRun, String fieldManager, String fieldValidation, Boolean force, final ApiCallback _callback)",31770,"Long Parameter List","Maintainability"
"io.kubernetes.client.openapi.apis.CoreV1Api.patchNamespaceCall(String name, V1Patch body, String pretty, String dryRun, String fieldManager, String fieldValidation, Boolean force, final ApiCallback _callback)",31770,"Complex Method","Maintainability, Understandability, Complexity"
"io.kubernetes.client.openapi.apis.CoreV1Api.patchNamespaceStatusCall(String name, V1Patch body, String pretty, String dryRun, String fieldManager, String fieldValidation, Boolean force, final ApiCallback _callback)",32018,"Long Method","Understandability, Maintainability"
"io.kubernetes.client.openapi.apis.CoreV1Api.patchNamespaceStatusCall(String name, V1Patch body, String pretty, String dryRun, String fieldManager, String fieldValidation, Boolean force, final ApiCallback _callback)",32018,"Long Parameter List","Maintainability"
"io.kubernetes.client.openapi.apis.CoreV1Api.patchNamespaceStatusCall(String name, V1Patch body, String pretty, String dryRun, String fieldManager, String fieldValidation, Boolean force, final ApiCallback _callback)",32018,"Complex Method","Maintainability, Understandability, Complexity"
"io.kubernetes.client.openapi.apis.CoreV1Api.patchNodeCall(String name, V1Patch body, String pretty, String dryRun, String fieldManager, String fieldValidation, Boolean force, final ApiCallback _callback)",37149,"Long Method","Understandability, Maintainability"
"io.kubernetes.client.openapi.apis.CoreV1Api.patchNodeCall(String name, V1Patch body, String pretty, String dryRun, String fieldManager, String fieldValidation, Boolean force, final ApiCallback _callback)",37149,"Long Parameter List","Maintainability"
"io.kubernetes.client.openapi.apis.CoreV1Api.patchNodeCall(String name, V1Patch body, String pretty, String dryRun, String fieldManager, String fieldValidation, Boolean force, final ApiCallback _callback)",37149,"Complex Method","Maintainability, Understandability, Complexity"
"io.kubernetes.client.openapi.apis.CoreV1Api.patchNodeStatusCall(String name, V1Patch body, String pretty, String dryRun, String fieldManager, String fieldValidation, Boolean force, final ApiCallback _callback)",37397,"Long Method","Understandability, Maintainability"
"io.kubernetes.client.openapi.apis.CoreV1Api.patchNodeStatusCall(String name, V1Patch body, String pretty, String dryRun, String fieldManager, String fieldValidation, Boolean force, final ApiCallback _callback)",37397,"Long Parameter List","Maintainability"
"io.kubernetes.client.openapi.apis.CoreV1Api.patchNodeStatusCall(String name, V1Patch body, String pretty, String dryRun, String fieldManager, String fieldValidation, Boolean force, final ApiCallback _callback)",37397,"Complex Method","Maintainability, Understandability, Complexity"
"io.kubernetes.client.openapi.apis.CoreV1Api.patchPersistentVolumeCall(String name, V1Patch body, String pretty, String dryRun, String fieldManager, String fieldValidation, Boolean force, final ApiCallback _callback)",37645,"Long Method","Understandability, Maintainability"
"io.kubernetes.client.openapi.apis.CoreV1Api.patchPersistentVolumeCall(String name, V1Patch body, String pretty, String dryRun, String fieldManager, String fieldValidation, Boolean force, final ApiCallback _callback)",37645,"Long Parameter List","Maintainability"
"io.kubernetes.client.openapi.apis.CoreV1Api.patchPersistentVolumeCall(String name, V1Patch body, String pretty, String dryRun, String fieldManager, String fieldValidation, Boolean force, final ApiCallback _callback)",37645,"Complex Method","Maintainability, Understandability, Complexity"
"io.kubernetes.client.openapi.apis.CoreV1Api.patchPersistentVolumeStatusCall(String name, V1Patch body, String pretty, String dryRun, String fieldManager, String fieldValidation, Boolean force, final ApiCallback _callback)",37893,"Long Method","Understandability, Maintainability"
"io.kubernetes.client.openapi.apis.CoreV1Api.patchPersistentVolumeStatusCall(String name, V1Patch body, String pretty, String dryRun, String fieldManager, String fieldValidation, Boolean force, final ApiCallback _callback)",37893,"Long Parameter List","Maintainability"
"io.kubernetes.client.openapi.apis.CoreV1Api.patchPersistentVolumeStatusCall(String name, V1Patch body, String pretty, String dryRun, String fieldManager, String fieldValidation, Boolean force, final ApiCallback _callback)",37893,"Complex Method","Maintainability, Understandability, Complexity"
"io.kubernetes.client.openapi.apis.FlowcontrolApiserverV1beta2Api.deleteFlowSchemaCall(String name, String pretty, String dryRun, Integer gracePeriodSeconds, Boolean orphanDependents, String propagationPolicy, V1DeleteOptions body, final ApiCallback _callback)",1254,"Long Method","Understandability, Maintainability"
"io.kubernetes.client.openapi.apis.FlowcontrolApiserverV1beta2Api.deleteFlowSchemaCall(String name, String pretty, String dryRun, Integer gracePeriodSeconds, Boolean orphanDependents, String propagationPolicy, V1DeleteOptions body, final ApiCallback _callback)",1254,"Long Parameter List","Maintainability"
"io.kubernetes.client.openapi.apis.FlowcontrolApiserverV1beta2Api.deleteFlowSchemaCall(String name, String pretty, String dryRun, Integer gracePeriodSeconds, Boolean orphanDependents, String propagationPolicy, V1DeleteOptions body, final ApiCallback _callback)",1254,"Complex Method","Maintainability, Understandability, Complexity"
"io.kubernetes.client.openapi.apis.FlowcontrolApiserverV1beta2Api.deletePriorityLevelConfigurationCall(String name, String pretty, String dryRun, Integer gracePeriodSeconds, Boolean orphanDependents, String propagationPolicy, V1DeleteOptions body, final ApiCallback _callback)",1505,"Long Method","Understandability, Maintainability"
"io.kubernetes.client.openapi.apis.FlowcontrolApiserverV1beta2Api.deletePriorityLevelConfigurationCall(String name, String pretty, String dryRun, Integer gracePeriodSeconds, Boolean orphanDependents, String propagationPolicy, V1DeleteOptions body, final ApiCallback _callback)",1505,"Long Parameter List","Maintainability"
"io.kubernetes.client.openapi.apis.FlowcontrolApiserverV1beta2Api.deletePriorityLevelConfigurationCall(String name, String pretty, String dryRun, Integer gracePeriodSeconds, Boolean orphanDependents, String propagationPolicy, V1DeleteOptions body, final ApiCallback _callback)",1505,"Complex Method","Maintainability, Understandability, Complexity"
"io.kubernetes.client.openapi.apis.FlowcontrolApiserverV1beta2Api.patchFlowSchemaCall(String name, V1Patch body, String pretty, String dryRun, String fieldManager, String fieldValidation, Boolean force, final ApiCallback _callback)",2540,"Long Method","Understandability, Maintainability"
"io.kubernetes.client.openapi.apis.FlowcontrolApiserverV1beta2Api.patchFlowSchemaCall(String name, V1Patch body, String pretty, String dryRun, String fieldManager, String fieldValidation, Boolean force, final ApiCallback _callback)",2540,"Long Parameter List","Maintainability"
"io.kubernetes.client.openapi.apis.FlowcontrolApiserverV1beta2Api.patchFlowSchemaCall(String name, V1Patch body, String pretty, String dryRun, String fieldManager, String fieldValidation, Boolean force, final ApiCallback _callback)",2540,"Complex Method","Maintainability, Understandability, Complexity"
"io.kubernetes.client.openapi.apis.FlowcontrolApiserverV1beta2Api.patchFlowSchemaStatusCall(String name, V1Patch body, String pretty, String dryRun, String fieldManager, String fieldValidation, Boolean force, final ApiCallback _callback)",2788,"Long Method","Understandability, Maintainability"
"io.kubernetes.client.openapi.apis.FlowcontrolApiserverV1beta2Api.patchFlowSchemaStatusCall(String name, V1Patch body, String pretty, String dryRun, String fieldManager, String fieldValidation, Boolean force, final ApiCallback _callback)",2788,"Long Parameter List","Maintainability"
"io.kubernetes.client.openapi.apis.FlowcontrolApiserverV1beta2Api.patchFlowSchemaStatusCall(String name, V1Patch body, String pretty, String dryRun, String fieldManager, String fieldValidation, Boolean force, final ApiCallback _callback)",2788,"Complex Method","Maintainability, Understandability, Complexity"
